64           103.84         31.89     13,811.29
65           104.06         31.64     13,707.22
66           104.31         31.41     13,602.92
67           104.54         31.17     13,498.37
68           104.79         30.92     13,393.57
69           105.03         30.69     13,288.54
70           105.26         30.44     13,183.28
71           105.51         30.21     13,077.76
72           105.75         29.96     12,972.01
73           106.00         29.73     12,866.01
74           106.23         29.48     12,759.77
75           106.48         29.23     12,653.29
76           106.73         29.00     12,546.55
77           106.96         28.75     12,439.59
78           107.21         28.51     12,332.37
79           107.45         28.26     12,224.90
80           107.70         28.01     12,117.20
81           107.95         27.76     12,009.25
82           108.20         27.51     11,901.04
83           108.45         27.26     11,792.59
84           108.70         27.01     11,683.88
85           108.95         26.78     11,574.94
86           109.20         26.53     11,465.73
87           109.45         26.28     11,356.29
88           109.70         26.01     11,246.60
89           109.95         25.76     11,136.64
90           110.20         25.51     11,026.44
91           110.45         25.26     10,915.98
92           110.70         25.01     10,805.28
93           110.95         24.76     10,694.31
94           111.21         24.51     10,583.10
95           111.46         24.25     10,471.62
96           111.73         24.00     10,359.89
97           111.98         23.73     10,247.92
98           112.23         23.48     10,135.68
99           112.50         23.23     10,023.18
100          112.75         22.96      9,910.43
101          113.01         22.71      9,797.40
102          113.26         22.44      9,684.13
103          113.53         22.19      9,570.61
104          113.79         21.92      9,456.81
105          114.04         21.67      9,342.77
106          114.31         21.41      9,228.45
107          114.57         21.14      9,113.87
108          114.84         20.89      8,999.04
109          115.09         20.62      8,883.94
110          115.37         20.35      8,768.56
111          115.62         20.08      8,652.94
112          115.89         19.82      8,537.04
113          116.15         19.55      8,420.88
114          116.43         19.30      8,304.45
115          116.68         19.03      8,187.77
116          116.95         18.76      8,070.81
117          117.23         18.50      7,953.57
118          117.50         18.23      7,836.07
119          117.76         17.96      7,718.31
120          118.04         17.69      7,600.27
121          118.31         17.42      7,481.97
122          118.57         17.14      7,363.39
123          118.84         16.87      7,244.53
124          119.12         16.60      7,125.42
125          119.40         16.32      7,006.02
126          119.67         16.05      6,886.35
127          119.93         15.77      6,766.40
128          120.21         15.50      6,646.19
129          120.48         15.23      6,525.69
130          120.76         14.94      6,404.93
131          121.04         14.67      6,283.89
132          121.31         14.40      6,162.56
133          121.59         14.11      6,040.96
134          121.87         13.83      5,919.07
135          122.15         13.56      5,796.92
136          122.43         13.27      5,674.47
137          122.71         13.00      5,551.76
138          123.00         12.72      5,428.76
139          123.28         12.43      5,305.47
140          123.56         12.16      5,181.90
141          123.84         11.88      5,058.06
142          124.12         11.58      4,933.93
143          124.42         11.31      4,809.51
144          124.70         11.01      4,684.81
145          124.98         10.74      4,559.81
146          125.26         10.44      4,434.53
147          125.56         10.16      4,308.97
148          125.84          9.86      4,183.13
149          126.14          9.58      4,057.00
150          126.43          9.30      3,930.57
151          126.71          9.00      3,803.84
152          127.01          8.72      3,676.84
153          127.29          8.42      3,549.55
154          127.59          8.13      3,421.96
155          127.87          7.83      3,294.07
156          128.18          7.54      3,165.90
157          128.46          7.25      3,037.42
158          128.75          6.96      2,908.67
159          129.06          6.67      2,779.61
160          129.34          6.37      2,650.25
161          129.65          6.07      2,520.59
162          129.94          5.78      2,390.65
163          130.25          5.48      2,260.40
164          130.53          5.17      2,129.86
165          130.84          4.87      1,999.01
166          131.13          4.58      1,867.88
167          131.43          4.28      1,736.43
168          131.75          3.98      1,604.69
169          132.05          3.68      1,472.64
170          132.34          3.37      1,340.28
171          132.65          3.06      1,207.64
172          132.96          2.77      1,074.68
173          133.25          2.46        941.41
174          133.56          2.16        807.85
175          133.87          1.85        673.98
176          134.18          1.54        539.79
177          134.49          1.24        405.31
178          134.80          0.93        270.51
179          135.09          0.62        135.40
180          135.40          0.31          0.00
